filename,xmin,ymin,xmax,ymax,class
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,0.0,334.0,93.0,454.0,1
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,0.0,474.0,29.0,495.0,2
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,0.0,464.0,97.0,586.0,1
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,281.0,479.0,514.59,621.1800000000001,1
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,85.0,473.0,197.0,639.0,1
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,2.0,561.0,25.0,576.0,2
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,420.0,568.0,443.0,590.0,2
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,96.0,62.0,246.97,184.82999999999998,1
IMG_5364_MOV-170_jpg.rf.b469711df1fc8ff86e37fd73dec8767b.jpg.xml,95.0,229.0,191.44,365.9,1
img20180628081632_jpg.rf.8a277f44591f3e09bbfdec827cdc2b6b.jpg.xml,19.0,144.0,78.0,196.0,1
img20180628081632_jpg.rf.8a277f44591f3e09bbfdec827cdc2b6b.jpg.xml,16.0,234.0,115.0,299.0,1
img20180628081632_jpg.rf.8a277f44591f3e09bbfdec827cdc2b6b.jpg.xml,25.0,61.0,119.0,131.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,145.0,67.0,287.0,131.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,453.0,88.0,563.0,148.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,383.0,134.0,459.0,168.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,533.0,133.0,630.0,214.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,120.0,157.0,242.0,213.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,266.0,170.0,496.0,224.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,505.0,171.0,585.0,230.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,281.0,216.0,389.0,232.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,572.0,210.0,630.0,262.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,469.0,256.0,557.0,314.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,9.0,252.0,193.0,334.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,394.0,272.0,448.0,334.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,452.0,308.0,543.0,361.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,539.0,317.0,615.0,389.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,552.0,447.0,574.49,465.18,2
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,407.0,433.0,451.0,483.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,475.0,430.0,597.0,508.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,225.0,474.0,335.0,530.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,330.0,477.0,438.0,533.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,418.0,528.0,451.0,579.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,349.0,556.0,431.0,612.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,416.0,583.0,446.0,623.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,388.0,32.0,452.0,88.0,1
IMG_5364_MOV-9_jpg.rf.5a39f4581a62fcfc4fd23fab7e476a6c.jpg.xml,512.0,46.0,586.0,100.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,228.0,499.0,375.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,309.0,490.0,475.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,424.0,453.0,594.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,585.0,427.0,639.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,98.0,304.0,304.4,497.33000000000004,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,491.0,356.0,533.0,409.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,1.0,266.0,62.0,432.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,528.0,265.0,639.0,431.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,380.0,255.0,537.58,427.22,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,403.0,308.0,449.0,369.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,280.0,261.0,338.0,297.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,570.0,187.0,639.0,324.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,9.0,120.0,148.71,347.78,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,1.0,615.0,142.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,228.0,130.0,419.99,305.56,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,413.0,162.0,512.81,238.67000000000002,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,30.0,139.0,67.0,196.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,247.0,142.0,305.0,168.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,1.0,13.0,51.0,254.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,467.0,58.0,623.49,173.56,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,303.0,55.0,440.56,131.67000000000002,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,398.0,24.0,431.0,62.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,392.0,1.0,507.0,93.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,188.0,1.0,322.0,120.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,154.0,576.0,279.0,639.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,466.0,1.0,503.0,36.0,2
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,1.0,1.0,144.0,40.0,1
1Conrad_png_jpg.rf.f60dd8707d8dbf8314e343976de6cd13.jpg.xml,321.0,1.0,411.0,36.0,1
s-exten-pollen-extended-ready-to-take-nectar-foxglove-garden-flower-95628571_jpg.rf.c9b44224206e2990a5e9c6eeac78f624.jpg.xml,260.0,430.0,283.0,457.0,2
s-exten-pollen-extended-ready-to-take-nectar-foxglove-garden-flower-95628571_jpg.rf.c9b44224206e2990a5e9c6eeac78f624.jpg.xml,236.0,405.0,292.2,508.64,1
img_41_jpg.rf.0c79426455bccee535edb4702be4e4c4.jpg.xml,491.0,295.0,572.0,359.0,1
img_41_jpg.rf.0c79426455bccee535edb4702be4e4c4.jpg.xml,187.0,198.0,273.0,234.0,1
img_41_jpg.rf.0c79426455bccee535edb4702be4e4c4.jpg.xml,479.0,126.0,551.0,182.0,1
